timestamp,accuracy,f1_score,recall,precision,kappa,confusion_matrix,threshold_used,native_language,education_level,age_group,english_level,job_category,reading_domain
2025-08-05 02:44:12,"(0.86, 0.82)","(0.851063829787234, 0.8301886792452831)","(0.8, 0.88)","(0.9090909090909091, 0.7857142857142857)","(0.72, 0.64)","('[[46  4]\n [10 40]]', '[[38 12]\n [ 6 44]]')",0.5,Arabic,Masters,"(18, 25)",Beginner,Healthcare,Academic papers
2025-08-05 02:52:11,"(0.76, 0.8)","(0.7391304347826086, 0.8181818181818182)","(0.6938775510204082, 0.9183673469387755)","(0.7906976744186046, 0.7377049180327869)","(0.5186522262334536, 0.6017522899243329)","('[[42  9]\n [15 34]]', '[[35 16]\n [ 4 45]]')",0.49,French,Ph.D.,"(18, 25)",Beginner,Skilled Trades & Vocational,Academic papers
2025-08-05 03:00:11,"(0.73, 0.73)","(0.7032967032967034, 0.6896551724137931)","(0.64, 0.6)","(0.7804878048780488, 0.8108108108108109)","(0.45999999999999996, 0.45999999999999996)","('[[41  9]\n [18 32]]', '[[43  7]\n [20 30]]')",0.5,Mandarin,High School,"(30, 40)",Intermediate,Education & Research,Fiction
2025-08-05 03:08:28,"(0.75, 0.8)","(0.7191011235955056, 0.7916666666666666)","(0.64, 0.76)","(0.8205128205128205, 0.8260869565217391)","(0.5, 0.6)","('[[43  7]\n [18 32]]', '[[42  8]\n [12 38]]')",0.5,Arabic,Bachelors,"(30, 40)",Beginner,Technology & Engineering,Fiction
2025-08-05 03:16:51,"(0.68, 0.76)","(0.5789473684210527, 0.7333333333333333)","(0.4489795918367347, 0.673469387755102)","(0.8148148148148148, 0.8048780487804879)","(0.3540573274121922, 0.5182657567242072)","('[[46  5]\n [27 22]]', '[[43  8]\n [16 33]]')",0.49,Arabic,Masters,"(30, 40)",Advanced,Healthcare,Academic papers
2025-08-05 03:24:59,"(0.8, 0.74)","(0.8076923076923077, 0.675)","(0.84, 0.54)","(0.7777777777777778, 0.9)","(0.6, 0.48)","('[[38 12]\n [ 8 42]]', '[[47  3]\n [23 27]]')",0.5,Turkish,Bachelors,"(30, 40)",Beginner,Government & Legal,Social Media
2025-08-05 03:33:31,"(0.68, 0.72)","(0.6097560975609756, 0.6818181818181818)","(0.5102040816326531, 0.6122448979591837)","(0.7575757575757576, 0.7692307692307693)","(0.35561820378574305, 0.43752511048613907)","('[[43  8]\n [24 25]]', '[[42  9]\n [19 30]]')",0.49,Mandarin,Bachelors,"(25, 30)",Advanced,Government & Legal,Fiction
2025-08-05 03:42:05,"(0.65, 0.78)","(0.47761194029850745, 0.75)","(0.32, 0.66)","(0.9411764705882353, 0.868421052631579)","(0.30000000000000004, 0.56)","('[[49  1]\n [34 16]]', '[[45  5]\n [17 33]]')",0.5,Mandarin,High School,"(18, 25)",Beginner,Technology & Engineering,Social Media
2025-08-05 03:50:26,"(0.78, 0.81)","(0.78, 0.8118811881188119)","(0.78, 0.82)","(0.78, 0.803921568627451)","(0.56, 0.62)","('[[39 11]\n [11 39]]', '[[40 10]\n [ 9 41]]')",0.5,Arabic,Bachelors,"(25, 30)",Beginner,Skilled Trades & Vocational,Non Fiction
2025-08-05 03:58:56,"(0.67, 0.71)","(0.5925925925925926, 0.6741573033707865)","(0.48, 0.6)","(0.7741935483870968, 0.7692307692307693)","(0.33999999999999997, 0.42000000000000004)","('[[43  7]\n [26 24]]', '[[41  9]\n [20 30]]')",0.5,Arabic,Ph.D.,"(30, 40)",Intermediate,Education & Research,Businness News
